{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 50, 'min_samples_split': 5, 'n_estimators': 1000}0.6635575942915393
{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 50, 'min_samples_split': 5, 'n_estimators': 1500}0.6081549439347606
{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 50, 'min_samples_split': 20, 'n_estimators': 20}0.5636595310907238
{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 50, 'min_samples_split': 20, 'n_estimators': 100}0.6543493034318721
{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 50, 'min_samples_split': 20, 'n_estimators': 500}0.6395174991505266
{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 50, 'min_samples_split': 20, 'n_estimators': 1000}0.645090044172613
{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 50, 'min_samples_split': 20, 'n_estimators': 1500}0.6413863404689093
{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 50, 'min_samples_split': 50, 'n_estimators': 20}0.5766224940536867
{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 50, 'min_samples_split': 50, 'n_estimators': 100}0.6005776418620455
{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 50, 'min_samples_split': 50, 'n_estimators': 500}0.6507305470608222
{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 50, 'min_samples_split': 50, 'n_estimators': 1000}0.6247536527353041
{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 50, 'min_samples_split': 50, 'n_estimators': 1500}0.6265545361875637
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20}0.6172273190621815
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}0.6098369011213047
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}0.619028202514441
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}0.6098029221882433
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1500}0.619028202514441
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20}0.6319911654774041
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}0.611671763506626
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}0.6116547740400952
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1000}0.6172103295956506
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1500}0.6208970438328236
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 20}0.6337920489296637
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 100}0.6245327896704044
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 500}0.6190112130479103
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 1000}0.6079680598029221
{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 1500}0.6172103295956508
